O*NET-SOC 2000 Occupation Listings,,
O*NET-SOC 2000 occupations,,
,,
O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2000 Description
51-6092.00,Fabric and Apparel Patternmakers,Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.
51-6093.00,Upholsterers,"Make, repair, or replace upholstery for household furniture or transportation vehicles."
51-6099.99,"Textile, Apparel, and Furnishings Workers, All Other","All textile, apparel, and furnishings workers not listed separately."
51-7011.00,Cabinetmakers and Bench Carpenters,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products."
51-7021.00,Furniture Finishers,"Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish."
51-7031.00,"Model Makers, Wood",Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.
51-7032.00,"Patternmakers, Wood","Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings."
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Set up, operate, or tend wood sawing machines. Includes head sawyers."
51-7041.01,Sawing Machine Setters and Set-Up Operators,"Set up or set up and operate wood-sawing machines. Examine blueprints, drawings, work orders, and patterns to determine size and shape of items to be sawed, sawing machines to set up, and sequence of sawing operations."
51-7041.02,Sawing Machine Operators and Tenders,"Operate or tend wood-sawing machines, such as circular saws, band saws, multiple blade sawing machines, scroll saws, ripsaws, equalizer saws, power saws, and crozer machines. Duties include: sawing logs to specifications; cutting lumber to specified dimensions; sawing curved or irregular designs; trimming edges and removing defects from lumber; or cutting grooves, bevel, and miter according to specifications or work orders."
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines."
51-7042.01,"Woodworking Machine Setters and Set-Up Operators, Except Sawing","Set up or set up and operate woodworking machines, such as lathes, drill presses, sanders, shapers, and planing machines, to perform woodworking operations."
51-7042.02,"Woodworking Machine Operators and Tenders, Except Sawing","Operate or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood-nailing machines to perform woodworking operations."
51-7099.99,"Woodworkers, All Other",All woodworkers not listed separately.
51-8011.00,Nuclear Power Reactor Operators,Control nuclear reactors.
51-8012.00,Power Distributors and Dispatchers,"Coordinate, regulate, or distribute electricity or steam."
51-8013.00,Power Plant Operators,"Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators."
51-8013.01,"Power Generating Plant Operators, Except Auxiliary Equipment Operators","Control or operate machinery, such as steam-driven turbogenerators, to generate electric power, often through the use of panelboards, control boards, or semi-automatic equipment."
51-8013.02,"Auxiliary Equipment Operators, Power","Control and maintain auxiliary equipment, such as pumps, fans, compressors, condensers, feedwater heaters, filters, and chlorinators, that supply water, fuel, lubricants, air, and auxiliary power for turbines, generators, boilers, and other power-generating plant facilities."
51-8021.00,Stationary Engineers and Boiler Operators,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment, such as steam engines, generators, motors, turbines, and steam boilers."
51-8021.01,"Boiler Operators and Tenders, Low Pressure","Operate or tend low pressure stationary steam boilers and auxiliary steam equipment, such as pumps, compressors and air conditioning equipment, to supply steam heat for office buildings, apartment houses, or industrial establishments; to maintain steam at specified pressure aboard marine vessels; or to generate and supply compressed air for operation of pneumatic tools, hoists, and air lances."
51-8021.02,Stationary Engineers,"Operate and maintain stationary engines and mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment such as steam engines, generators, motors, turbines, and steam boilers."
51-8031.00,Water and Liquid Waste Treatment Plant and System Operators,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or liquid waste."
51-8091.00,Chemical Plant and System Operators,Control or operate an entire chemical process or system of machines.
51-8092.00,Gas Plant Operators,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.
51-8092.01,Gas Processing Plant Operators,"Control equipment, such as compressors, evaporators, heat exchangers, and refrigeration equipment to process gas for utility companies and for industrial use."
51-8092.02,Gas Distribution Plant Operators,Control equipment to regulate flow and pressure of gas for utility companies and industrial use. May control distribution of gas for a municipal or industrial plant or a single process in an industrial plant.
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Control the operation of petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines."
51-8093.01,Petroleum Pump System Operators,Control or operate manifold and pumping systems to circulate liquids through a petroleum refinery.
51-8093.02,Petroleum Refinery and Control Panel Operators,"Analyze specifications and control continuous operation of petroleum refining and processing units. Operate control panel to regulate temperature, pressure, rate of flow, and tank level in petroleum refining unit, according to process schedules."
51-8093.03,Gaugers,"Gauge and test oil in storage tanks. Regulate flow of oil into pipelines at wells, tank farms, refineries, and marine and rail terminals, following prescribed standards and regulations."
51-8099.99,"Plant and System Operators, All Other",All plant and system operators not listed separately.
51-9011.00,Chemical Equipment Operators and Tenders,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels."
51-9011.01,Chemical Equipment Controllers and Operators,"Control or operate equipment to control chemical changes or reactions in the processing of industrial or consumer products. Typical equipment used are: reaction kettles, catalytic converters, continuous or batch treating equipment, saturator tanks, electrolytic cells, reactor vessels, recovery units, and fermentation chambers."
51-9011.02,Chemical Equipment Tenders,"Tend equipment in which a chemical change or reaction takes place in the processing of industrial or consumer products. Typical equipment used are: devulcanizers, batch stills, fermenting tanks, steam-jacketed kettles, and reactor vessels."
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators."
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber."
51-9022.00,"Grinding and Polishing Workers, Hand","Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects."
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients."
51-9031.00,"Cutters and Trimmers, Hand","Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber."
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material."
51-9032.01,Fiber Product Cutting Machine Setters and Set-Up Operators,"Set up and operate machine to cut or slice fiber material, such as paper, wallboard, and insulation material."
51-9032.02,Stone Sawyers,"Set up and operate gang saws, reciprocating saws, circular saws, or wire saws to cut blocks of stone into specified dimensions."
51-9032.03,Glass Cutting Machine Setters and Set-Up Operators,Set up and operate machines to cut glass.
51-9032.04,Cutting and Slicing Machine Operators and Tenders,"Operate or tend machines to cut or slice any of a wide variety of products or materials, such as tobacco, food, paper, roofing slate, glass, stone, rubber, cork, and insulating material."
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines, such as glass forming machines, plodder machines, and tuber machines, to shape and form products, such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics."
51-9041.01,"Extruding, Forming, Pressing, and Compacting Machine Setters and Set-Up Operators","Set up or set up and operate machines, such as glass forming machines, plodder machines, and tuber machines, to manufacture any of a wide variety of products, such as soap bars, formed rubber, glassware, food, brick, and tile, by means of extruding, compressing, or compacting."
51-9041.02,"Extruding, Forming, Pressing, and Compacting Machine Operators and Tenders","Operate or tend machines to shape and form any of a wide variety of manufactured products, such as glass bulbs, molded food and candy, rubber goods, clay products, wax products, tobacco plugs, cosmetics, or paper products, by means of extruding, compressing or compacting."
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities, such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap."
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment."
51-9061.01,Materials Inspectors,"Examine and inspect materials and finished parts and products for defects and wear and to ensure conformance with work orders, diagrams, blueprints, and template specifications. Usually specialize in a single phase of inspection."
51-9061.02,Mechanical Inspectors,"Inspect and test mechanical assemblies and systems, such as motors, vehicles, and transportation equipment for defects and wear to ensure compliance with specifications."
51-9061.03,Precision Devices Inspectors and Testers,"Verify accuracy of and adjust precision devices, such as meters and gauges, testing instruments, clock and watch mechanisms, to ensure operation of device is in accordance with design specifications."
51-9061.04,Electrical and Electronic Inspectors and Testers,"Inspect and test electrical and electronic systems, such as radar navigational equipment, computer memory units, television and radio transmitters, using precision measuring instruments."
51-9061.05,"Production Inspectors, Testers, Graders, Sorters, Samplers, Weighers","Inspect, test, grade, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products. Work may be performed before, during, or after processing."
51-9071.00,Jewelers and Precious Stone and Metal Workers,"Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems. Includes diamond polishers and gem cutters and persons who perform precision casting and modeling of molds, casting metal in molds, or setting precious and semi-precious stones for jewelry and related products."
51-9071.01,Jewelers,Fabricate and repair jewelry articles.
51-9071.02,Silversmiths,"Anneal, solder, hammer, shape, and glue silver articles."
51-9071.03,"Model and Mold Makers, Jewelry",Make models or molds to create jewelry items.
51-9071.04,"Bench Workers, Jewelry","Cut, file, form, and solder parts for jewelry."
51-9071.05,Pewter Casters and Finishers,"Cast and finish pewter alloy to form parts for goblets, candlesticks, and other pewterware."
51-9071.06,Gem and Diamond Workers,"Split, saw, cut, shape, polish, or drill gems and diamonds used in jewelry or industrial tools."
51-9081.00,Dental Laboratory Technicians,Construct and repair full or partial dentures or dental appliances.
51-9082.00,Medical Appliance Technicians,"Construct, fit, maintain, or repair medical supportive devices, such as braces, artificial limbs, joints, arch supports, and other surgical and medical appliances."
51-9083.00,Ophthalmic Laboratory Technicians,"Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements."
51-9083.01,Precision Lens Grinders and Polishers,Set up and operate variety of machines and equipment to grind and polish lens and other optical elements.
51-9083.02,Optical Instrument Assemblers,"Assemble optical instruments, such as telescopes, level-transits, and gunsights."
51-9111.00,Packaging and Filling Machine Operators and Tenders,Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.
51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to coat or paint any of a wide variety of products including food, glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials."
51-9121.01,"Coating, Painting, and Spraying Machine Setters and Set-Up Operators","Set up or set up and operate machines to coat or paint any of a wide variety of products, such as food products, glassware, and cloth, ceramic, metal, plastic, paper, and wood products, with lacquer, silver and copper solution, rubber, paint, varnish, glaze, enamel, oil, or rust-proofing materials."
51-9121.02,"Coating, Painting, and Spraying Machine Operators and Tenders","Coating Machine Operators and Tenders: Operate or tend machines to coat any of a wide variety of items: Coating food products with sugar, chocolate, or butter; coat paper and paper products with chemical solutions, wax, or glazes; or coat fabric with rubber or plastic. Painting and Spraying Machine Operators and Tenders: Operate or tend machines to spray or paint decorative, protective, or other coating or finish, such as adhesive, lacquer, paint, stain, latex, preservative, oil, or other solutions. May apply coating or finish to any of a wide variety of items or materials, such as wood and wood products, ceramics, and glass. Includes workers who apply coating or finish to materials preparatory to further processing or to consumer use."
51-9122.00,"Painters, Transportation Equipment","Operate or tend painting machines to paint surfaces of transportation equipment, such as automobiles, buses, trucks, trains, boats, and airplanes."
51-9123.00,"Painting, Coating, and Decorating Workers","Paint, coat, or decorate articles, such as furniture, glass, plateware, pottery, jewelry, cakes, toys, books, or leather."
51-9131.00,Photographic Process Workers,"Perform precision work involved in photographic processing, such as editing photographic negatives and prints, using photo-mechanical, chemical, or computerized methods."
51-9131.01,Photographic Retouchers and Restorers,"Retouch or restore photographic negatives and prints to accentuate desirable features of subject, using pencils, watercolors, or airbrushes."
51-9131.02,Photographic Reproduction Technicians,"Duplicate materials to produce prints on sensitized paper, cloth, or film, using photographic equipment."
51-9131.03,Photographic Hand Developers,Develop exposed photographic film or sensitized paper in series of chemical and water baths to produce negative or positive prints.
51-9131.04,Film Laboratory Technicians,"Evaluate motion picture film to determine characteristics, such as sensitivity to light, density, and exposure time required for printing."
51-9132.00,Photographic Processing Machine Operators,"Operate photographic processing machines, such as photographic printing machines, film developing machines, and mounting presses."
51-9141.00,Semiconductor Processors,"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties."
51-9191.00,Cementing and Gluing Machine Operators and Tenders,"Operate or tend cementing and gluing machines to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials."
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities."
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,"Operate or tend equipment, such as cooling and freezing units, refrigerators, batch freezers, and freezing tunnels, to cool or freeze products, food, blood plasma, and chemicals."
51-9194.00,Etchers and Engravers,"Engrave or etch metal, wood, rubber, or other materials for identification or decorative purposes. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers."
51-9194.01,"Precision Etchers and Engravers, Hand or Machine","Engrave or etch flat or curved metal, wood, rubber, or other materials by hand or machine for printing, identification, or decorative purposes. Includes etchers and engravers of both hard and soft metals or materials, and jewelry and seal engravers."
51-9194.02,Engravers/Carvers,"Engrave or carve designs or lettering onto objects, using hand-held power tools."
51-9194.03,Etchers,"Etch or cut artistic designs in glass articles, using acid solutions, sandblasting equipment, and design patterns."
51-9194.04,Pantograph Engravers,"Affix identifying information onto a variety of materials and products, using engraving machines or equipment."
51-9194.05,"Etchers, Hand","Etch patterns, designs, lettering, or figures onto a variety of materials and products."
51-9194.06,"Engravers, Hand",Engrave designs and identifying information onto rollers or plates used in printing.
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic","Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials."
51-9195.01,"Precision Mold and Pattern Casters, Except Nonferrous Metals","Cast molds and patterns from a variety of materials except nonferrous metals, according to blueprints and specifications."
51-9195.02,"Precision Pattern and Die Casters, Nonferrous Metals","Cast metal patterns and dies, according to specifications, from a variety of nonferrous metals, such as aluminum or bronze."
51-9195.03,Stone Cutters and Carvers,Cut or carve stone according to diagrams and patterns.
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",Shape molten glass according to patterns.
51-9195.05,Potters,Mold clay into ware as clay revolves on potter's wheel.
51-9195.06,"Mold Makers, Hand",Construct or form molds from existing forms for use in casting objects.
51-9195.07,Molding and Casting Workers,"Perform a variety of duties such as mixing materials, assembling mold parts, filling molds, and stacking molds to mold and cast a wide range of products."
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders","Set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products."
51-9197.00,Tire Builders,Operate machines to build tires from rubber components.
51-9198.00,Helpers--Production Workers,"Help production workers by performing duties of lesser skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment."
51-9198.01,Production Laborers,Perform variety of routine tasks to assist in production activities.
51-9198.02,Production Helpers,Perform variety of tasks requiring limited knowledge of production processes in support of skilled production workers.
51-9199.99,"Production Workers, All Other",All production workers not listed separately.
53-1011.00,Aircraft Cargo Handling Supervisors,"Direct ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage. Determine the quantity and orientation of cargo and compute aircraft center of gravity. May accompany aircraft as member of flight crew and monitor and handle cargo in flight, and assist and brief passengers on safety and emergency procedures."
53-1021.00,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand","Supervise and coordinate the activities of helpers, laborers, or material movers."
53-1031.00,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,Directly supervise and coordinate activities of transportation and material-moving machine and vehicle operators and helpers.
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Pilot and navigate the flight of multi-engine aircraft in regularly scheduled service for the transport of passengers and cargo. Requires Federal Air Transport rating and certification in specific aircraft type used.
53-2012.00,Commercial Pilots,"Pilot and navigate the flight of small fixed or rotary winged aircraft, primarily for the transport of cargo and passengers. Requires Commercial Rating."
53-2021.00,Air Traffic Controllers,"Control air traffic on and within vicinity of airport and movement of air traffic between altitude sectors and control centers according to established procedures and policies. Authorize, regulate, and control commercial airline flights according to government or company regulations to expedite and ensure flight safety."
53-2022.00,Airfield Operations Specialists,Ensure the safe takeoff and landing of commercial and military aircraft. Duties include coordination between air-traffic control and maintenance personnel; dispatching; using airfield landing and navigational aids; implementing airfield safety procedures; monitoring and maintaining flight records; and applying knowledge of weather information.
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Drive ambulance or assist ambulance driver in transporting sick, injured, or convalescent persons. Assist in lifting patients."
53-3021.00,"Bus Drivers, Transit and Intercity","Drive bus or motor coach, including regular route operations, charters, and private carriage. May assist passengers with baggage. May collect fares or tickets."
53-3022.00,"Bus Drivers, School","Transport students or special clients, such as the elderly or persons with disabilities. Ensure adherence to safety rules. May assist passengers in boarding or exiting."
53-3031.00,Driver/Sales Workers,"Drive truck or other vehicle over established routes or within an established territory and sell goods, such as food products, including restaurant take-out items, or pick up and deliver items, such as laundry. May also take orders and collect payments. Includes newspaper delivery drivers."
53-3032.00,"Truck Drivers, Heavy and Tractor-Trailer","Drive a tractor-trailer combination or a truck with a capacity of at least 26,000 GVW, to transport and deliver goods, livestock, or materials in liquid, loose, or packaged form. May be required to unload truck. May require use of automated routing equipment. Requires commercial drivers' license."
53-3032.01,"Truck Drivers, Heavy",Drive truck with capacity of more than three tons to transport materials to specified destinations.
53-3032.02,Tractor-Trailer Truck Drivers,"Drive tractor-trailer truck to transport products, livestock, or materials to specified destinations."
53-3033.00,"Truck Drivers, Light or Delivery Services","Drive a truck or van with a capacity of under 26,000 GVW, primarily to deliver or pick up merchandise or to deliver packages within a specified area. May require use of automatic routing or location software. May load and unload truck."
53-3041.00,Taxi Drivers and Chauffeurs,"Drive automobiles, vans, or limousines to transport passengers. May occasionally carry cargo."
53-3099.99,"Motor Vehicle Operators, All Other",All motor vehicle operators not listed separately.
53-4011.00,Locomotive Engineers,"Drive electric, diesel-electric, steam, or gas-turbine-electric locomotives to transport passengers or freight. Interpret train orders, electronic or manual signals, and railroad rules and regulations."
53-4012.00,Locomotive Firers,"Monitor locomotive instruments and watch for dragging equipment, obstacles on rights-of-way, and train signals during run. Watch for and relay traffic signals from yard workers to yard engineer in railroad yard."
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers","Drive switching or other locomotive or dinkey engines within railroad yard, industrial plant, quarry, construction project, or similar location."
53-4021.00,"Railroad Brake, Signal, and Switch Operators","Operate railroad track switches. Couple or uncouple rolling stock to make up or break up trains. Signal engineers by hand or flagging. May inspect couplings, air hoses, journal boxes, and hand brakes."
53-4021.01,Train Crew Members,"Inspect couplings, airhoses, journal boxes, and handbrakes on trains to ensure that they function properly."
53-4021.02,Railroad Yard Workers,Perform a variety of activities such as coupling railcars and operating railroad track switches in railroad yard to facilitate the movement of rail cars within the yard.
53-4031.00,Railroad Conductors and Yardmasters,"Conductors coordinate activities of train crew on passenger or freight train. Coordinate activities of switch-engine crew within yard of railroad, industrial plant, or similar location. Yardmasters coordinate activities of workers engaged in railroad traffic operations, such as the makeup or breakup of trains, yard switching, and review train schedules and switching orders."
53-4041.00,Subway and Streetcar Operators,"Operate subway or elevated suburban train with no separate locomotive, or electric-powered streetcar to transport passengers. May handle fares."
53-4099.99,"Rail Transportation Workers, All Other",All rail transportation workers not listed separately.
53-5011.00,Sailors and Marine Oilers,"Stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Perform a variety of maintenance tasks to preserve the painted surface of the ship and to maintain line and ship equipment. Must hold government-issued certification and tankerman certification when working aboard liquid-carrying vessels."
53-5011.01,Able Seamen,"Stand watch at bow or on wing of bridge to look for obstructions in path of vessel. Measure water depth. Turn wheel on bridge or use emergency equipment as directed by mate. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Chip rust from and paint deck or ship's structure. Must hold government-issued certification. Must hold certification when working aboard liquid-carrying vessels."
53-5011.02,Ordinary Seamen and Marine Oilers,"Stand deck department watches and perform a variety of tasks to preserve the painted surface of the ship and to maintain lines and ship equipment, such as running and cargo-handling gear. May oil and grease moving parts of engines and auxiliary equipment. Must hold government-issued certification. Must hold certification when working aboard liquid-carrying vessels."
53-5021.00,"Captains, Mates, and Pilots of Water Vessels","Command or supervise operations of ships and water vessels, such as tugboats and ferryboats, that travel into and out of harbors, estuaries, straits, and sounds and on rivers, lakes, bays, and oceans. Required to hold license issued by U.S. Coast Guard."
53-5021.01,Ship and Boat Captains,"Command vessels in oceans, bays, lakes, rivers, and coastal waters."
53-5021.02,"Mates- Ship, Boat, and Barge","Supervise and coordinate activities of crew aboard ships, boats, barges, or dredges."
53-5021.03,"Pilots, Ship","Command ships to steer them into and out of harbors, estuaries, straits, and sounds, and on rivers, lakes, and bays. Must be licensed by U.S. Coast Guard with limitations indicating class and tonnage of vessels for which license is valid and route and waters that may be piloted."
53-5022.00,Motorboat Operators,"Operate small motor-driven boats to carry passengers and freight between ships, or ship to shore. May patrol harbors and beach areas. May assist in navigational activities."
53-5031.00,Ship Engineers,"Supervise and coordinate activities of crew engaged in operating and maintaining engines, boilers, deck machinery, and electrical, sanitary, and refrigeration equipment aboard ship."
53-6011.00,Bridge and Lock Tenders,"Operate and tend bridges, canal locks, and lighthouses to permit marine passage on inland waterways, near shores, and at danger points in waterway passages. May supervise such operations. Includes drawbridge operators, lock tenders and operators, and slip bridge operators."
53-6021.00,Parking Lot Attendants,Park automobiles or issue tickets for customers in a parking lot or garage. May collect fee.
53-6031.00,Service Station Attendants,"Service automobiles, buses, trucks, boats, and other automotive or marine vehicles with fuel, lubricants, and accessories. Collect payment for services and supplies. May lubricate vehicle, change motor oil, install antifreeze, or replace lights or other accessories, such as windshield wiper blades or fan belts. May repair or replace tires."
53-6041.00,Traffic Technicians,"Conduct field studies to determine traffic volume, speed, effectiveness of signals, adequacy of lighting, and other factors influencing traffic conditions, under direction of traffic engineer."
53-6051.00,Transportation Inspectors,"Inspect equipment or goods in connection with the safe transport of cargo or people. Includes rail transport inspectors, such as freight inspectors, car inspectors, rail inspectors, and other nonprecision inspectors of other types of transportation vehicles."
53-6051.01,Aviation Inspectors,"Inspect aircraft, maintenance procedures, air navigational aids, air traffic controls, and communications equipment to ensure conformance with Federal safety regulations."
53-6051.02,Public Transportation Inspectors,"Monitor operation of public transportation systems to ensure good service and compliance with regulations. Investigate accidents, equipment failures, and complaints."
53-6051.03,Marine Cargo Inspectors,Inspect cargoes of seagoing vessels to certify compliance with health and safety regulations in cargo handling and stowage.
53-6051.04,Railroad Inspectors,"Inspect railroad equipment, roadbed, and track to ensure safe transport of people or cargo."
53-6051.05,Motor Vehicle Inspectors,Inspect automotive vehicles to ensure compliance with governmental regulations and safety standards.
53-6051.06,Freight Inspectors,Inspect freight for proper storage according to specifications.
53-6099.99,"Transportation Workers, All Other",All transportation workers not listed separately.
53-7011.00,Conveyor Operators and Tenders,"Control or tend conveyors or conveyor systems that move materials or products to and from stockpiles, processing stations, departments, or vehicles. May control speed and routing of materials or products."
53-7021.00,Crane and Tower Operators,"Operate mechanical boom and cable or tower and cable equipment to lift and move materials, machines, or products in many directions."
53-7031.00,Dredge Operators,"Operate dredge to remove sand, gravel, or other materials from lakes, rivers, or streams; and to excavate and maintain navigable channels in waterways."
53-7032.00,Excavating and Loading Machine and Dragline Operators,"Operate or tend machinery equipped with scoops, shovels, or buckets, to excavate and load loose materials."
53-7032.01,Excavating and Loading Machine Operators,"Operate machinery equipped with scoops, shovels, or buckets to excavate and load loose materials."
53-7032.02,Dragline Operators,"Operate power-driven crane equipment with dragline bucket to excavate or move sand, gravel, mud, or other materials."
53-7033.00,"Loading Machine Operators, Underground Mining","Operate underground loading machine to load coal, ore, or rock into shuttle or mine car or onto conveyors. Loading equipment may include power shovels, hoisting engines equipped with cable-drawn scraper or scoop, or machines equipped with gathering arms and conveyor."
53-7041.00,Hoist and Winch Operators,Operate or tend hoists or winches to lift and pull loads using power-operated cable equipment.
53-7051.00,Industrial Truck and Tractor Operators,"Operate industrial trucks or tractors equipped to move materials around a warehouse, storage yard, factory, construction site, or similar location."
53-7061.00,Cleaners of Vehicles and Equipment,"Wash or otherwise clean vehicles, machinery, and other equipment. Use such materials as water, cleaning agents, brushes, cloths, and hoses."
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand","Manually move freight, stock, or other materials or perform other unskilled general labor. Includes all unskilled manual laborers not elsewhere classified."
53-7062.01,"Stevedores, Except Equipment Operators",Manually load and unload ship cargo. Stack cargo in transit shed or in hold of ship using pallet or cargo board. Attach and move slings to lift cargo. Guide load lift.
53-7062.02,"Grips and Set-Up Workers, Motion Picture Sets, Studios, and Stages","Arrange equipment; raise and lower scenery; move dollies, cranes, and booms; and perform other duties for motion-picture, recording, or television industry."
53-7062.03,"Freight, Stock, and Material Movers, Hand","Load, unload and move materials at plant, yard, or other work site."
53-7063.00,Machine Feeders and Offbearers,Feed materials into or remove materials from machines or equipment that is automatic or tended by other workers.
53-7064.00,"Packers and Packagers, Hand",Pack or package by hand a wide variety of products and materials.
53-7071.00,Gas Compressor and Gas Pumping Station Operators,"Operate steam, gas, electric motor, or internal combustion engine driven compressors. Transmit, compress, or recover gases, such as butane, nitrogen, hydrogen, and natural gas."
53-7071.01,Gas Pumping Station Operators,"Control the operation of steam, gas, or electric-motor-driven compressor to maintain specified pressures on high and low-pressure mains dispensing gas from gasholders."
53-7071.02,Gas Compressor Operators,"Operate steam or internal combustion engines to transmit, compress, or recover gases, such as butane, nitrogen, hydrogen, and natural gas, in various production processes."
53-7072.00,"Pump Operators, Except Wellhead Pumpers","Tend, control, or operate power-driven, stationary, or portable pumps and manifold systems to transfer gases, oil, other liquids, slurries, or powdered materials to and from various vessels and processes."
53-7073.00,Wellhead Pumpers,Operate power pumps and auxiliary equipment to produce flow of oil or gas from wells in oil field.
53-7081.00,Refuse and Recyclable Material Collectors,Collect and dump refuse or recyclable materials from containers into truck. May drive truck.
53-7111.00,Shuttle Car Operators,Operate diesel or electric-powered shuttle car in underground mine to transport materials from working face to mine cars or conveyor.
